[40, 65, 4, 47, 42, 69, 26, 11, 10, 45, 12, 109, 95, 58, 86, 29, 90, 30, 73, 107, 79, 46, 102, 16, 23, 55, 7, 53, 98, 88, 75, 20, 0, 71, 1, 8]
[0, 20, 97, 30, 40, 81, 68, 109, 74, 58, 88, 94, 75, 63, 39, 13, 102, 60, 69, 12, 38, 11, 62, 28, 86, 87, 79, 98, 10, 45, 25, 42, 104, 64, 36, 27]
[28, 23, 82, 10, 62, 31, 76, 17, 59, 39, 71, 70, 30, 73, 48, 6, 34, 80, 81, 2, 26, 8, 40, 67, 111, 3, 72, 83, 100, 7, 45, 110, 27, 21, 13, 77]
[66, 97, 76, 0, 72, 44, 33, 40, 36, 24, 38, 111, 69, 39, 27, 77, 63, 14, 18, 94, 17, 88, 25, 62, 41, 1, 6, 86, 81, 53, 37, 12, 79, 68, 80, 75]
[21, 2, 88, 16, 89, 12, 94, 108, 46, 85, 26, 4, 79, 30, 102, 97, 78, 93, 91, 64, 69, 42, 47, 107, 38, 106, 75, 104, 0, 20, 95, 65, 48, 96, 1, 43]
[17, 30, 12, 29, 99, 72, 75, 32, 42, 111, 10, 65, 83, 108, 25, 96, 24, 88, 76, 93, 107, 70, 51, 28, 95, 66, 102, 34, 8, 69, 64, 78, 39, 46, 22, 86]
[100, 37, 67, 89, 5, 3, 42, 108, 45, 104, 36, 43, 75, 15, 80, 79, 78, 62, 83, 41, 31, 95, 59, 86, 99, 40, 64, 14, 106, 93, 107, 110, 63, 77, 90, 84]
[99, 65, 84, 9, 79, 34, 94, 96, 33, 106, 107, 105, 82, 109, 76, 97, 47, 77, 67, 86, 100, 0, 111, 38, 30, 43, 12, 64, 42, 17, 75, 85, 80, 6, 22, 46]
[2, 88, 76, 16, 25, 13, 23, 31, 29, 83, 102, 111, 42, 39, 68, 9, 108, 100, 104, 98, 34, 12, 81, 64, 106, 71, 52, 0, 17, 109, 72, 70, 99, 82, 61, 93]
[59, 34, 65, 92, 56, 37, 47, 73, 82, 3, 76, 0, 57, 41, 96, 45, 29, 80, 111, 42, 14, 95, 53, 23, 6, 16, 36, 93, 63, 83, 75, 52, 10, 58, 99, 97]
[70, 22, 104, 33, 65, 43, 15, 56, 88, 100, 1, 95, 77, 86, 106, 5, 57, 58, 26, 66, 23, 0, 78, 4, 9, 18, 64, 102, 51, 69, 2, 99, 42, 20, 40, 6]
[76, 27, 6, 51, 101, 49, 71, 91, 37, 34, 44, 30, 31, 54, 2, 21, 41, 17, 55, 43, 61, 52, 85, 14, 111, 10, 99, 64, 36, 100, 73, 40, 108, 42, 62, 48]
[45, 14, 68, 7, 110, 52, 48, 109, 30, 40, 36, 13, 6, 78, 104, 106, 86, 93, 63, 37, 55, 50, 83, 99, 0, 75, 73, 41, 8, 108, 29, 31, 4, 90, 81, 16]
[81, 93, 53, 96, 42, 109, 23, 18, 28, 39, 95, 45, 47, 0, 88, 52, 22, 72, 25, 89, 73, 75, 20, 79, 100, 1, 46, 63, 30, 102, 12, 82, 66, 7, 51, 58]
[42, 101, 102, 95, 65, 5, 100, 50, 75, 79, 54, 98, 30, 86, 15, 9, 99, 46, 109, 61, 69, 93, 0, 26, 110, 47, 20, 12, 96, 58, 82, 106, 89, 44, 43, 23]
[85, 47, 111, 27, 101, 20, 86, 43, 75, 91, 46, 17, 44, 54, 0, 79, 48, 95, 21, 30, 76, 61, 65, 102, 67, 93, 89, 6, 109, 12, 99, 96, 5, 8, 57, 97]
[84, 93, 82, 65, 30, 6, 7, 111, 110, 105, 46, 23, 12, 47, 17, 10, 34, 31, 96, 2, 88, 75, 90, 1, 76, 99, 95, 70, 4, 11, 8, 55, 48, 53, 28, 81]
[100, 110, 61, 0, 20, 83, 14, 48, 94, 23, 99, 101, 79, 42, 64, 41, 106, 97, 95, 43, 54, 109, 16, 9, 37, 67, 38, 71, 51, 58, 88, 29, 36, 31, 24, 104]
[94, 60, 53, 63, 109, 39, 97, 102, 11, 38, 87, 62, 73, 42, 25, 98, 6, 74, 45, 40, 4, 28, 58, 8, 65, 72, 0, 55, 86, 41, 104, 18, 78, 54, 20, 12]
[49, 16, 56, 85, 81, 53, 48, 71, 28, 88, 57, 21, 25, 40, 31, 104, 39, 58, 91, 72, 62, 106, 9, 79, 45, 50, 26, 42, 105, 60, 69, 27, 93, 86, 73, 84]
