[40, 65, 4, 47, 42, 69, 26, 11, 10, 62, 102, 0, 96, 109, 20, 23, 55, 90, 63, 58, 16, 46, 88, 12, 70, 1, 7, 53, 79, 107, 93, 98, 86, 52, 30, 8]
[34, 109, 104, 23, 100, 49, 63, 20, 29, 76, 65, 82, 71, 70, 53, 16, 64, 17, 102, 80, 9, 83, 45, 86, 52, 111, 98, 26, 2, 95, 73, 58, 105, 46, 84, 79]
[104, 0, 96, 16, 8, 91, 81, 35, 97, 64, 20, 89, 69, 30, 21, 28, 1, 38, 9, 4, 46, 107, 6, 85, 25, 19, 94, 83, 42, 95, 109, 7, 72, 24, 65, 86]
[28, 19, 50, 34, 32, 53, 90, 42, 81, 39, 66, 106, 17, 24, 40, 1, 4, 25, 72, 35, 48, 76, 22, 45, 55, 65, 18, 99, 6, 62, 8, 12, 77, 52, 41, 7]
[12, 63, 3, 76, 57, 58, 108, 16, 17, 107, 62, 80, 6, 56, 109, 48, 86, 111, 98, 45, 59, 34, 20, 50, 65, 42, 53, 102, 78, 0, 100, 15, 61, 22, 33, 103]
[70, 82, 102, 15, 73, 42, 78, 22, 36, 104, 2, 107, 5, 62, 65, 31, 35, 41, 52, 9, 58, 40, 0, 108, 24, 14, 64, 26, 12, 53, 69, 99, 32, 37, 98, 28]
[16, 44, 51, 92, 41, 26, 10, 79, 5, 86, 27, 43, 14, 104, 7, 102, 15, 0, 108, 36, 70, 6, 42, 4, 31, 37, 9, 11, 88, 61, 110, 17, 87, 21, 45, 72]
[32, 88, 104, 36, 59, 71, 47, 68, 46, 66, 4, 29, 37, 80, 70, 96, 13, 95, 24, 12, 83, 14, 3, 100, 30, 75, 22, 58, 23, 41, 64, 89, 93, 53, 28, 33]
[108, 75, 88, 96, 25, 80, 5, 87, 69, 99, 46, 58, 30, 81, 95, 15, 74, 107, 51, 47, 20, 89, 39, 59, 60, 16, 110, 93, 109, 72, 104, 98, 26, 45, 49, 50]
[93, 2, 38, 95, 57, 40, 29, 66, 30, 46, 52, 94, 100, 56, 62, 26, 32, 96, 75, 70, 97, 89, 53, 23, 18, 11, 47, 83, 80, 63, 71, 19, 1, 39, 82, 109]
[65, 34, 70, 3, 92, 51, 102, 64, 59, 4, 111, 71, 80, 78, 42, 52, 20, 17, 26, 106, 107, 2, 0, 76, 82, 50, 79, 9, 103, 27, 53, 8, 86, 61, 19, 68]
[74, 100, 35, 86, 71, 42, 70, 62, 89, 60, 2, 19, 16, 64, 4, 52, 53, 93, 87, 23, 32, 12, 104, 98, 82, 73, 30, 83, 1, 102, 26, 107, 29, 63, 46, 78]
[90, 57, 100, 30, 6, 19, 77, 88, 8, 10, 56, 71, 96, 76, 32, 33, 98, 1, 11, 82, 95, 55, 24, 69, 7, 64, 47, 17, 35, 65, 13, 23, 109, 84, 2, 87]
[31, 90, 3, 94, 8, 27, 25, 19, 89, 50, 6, 80, 38, 30, 44, 72, 18, 93, 51, 1, 59, 97, 7, 81, 22, 75, 48, 10, 11, 39, 66, 96, 56, 87, 71, 28]
[107, 80, 66, 87, 26, 44, 77, 33, 34, 79, 3, 35, 74, 71, 27, 17, 16, 100, 18, 60, 82, 76, 12, 52, 24, 9, 111, 109, 89, 65, 19, 56, 20, 37, 6, 7]
[79, 49, 30, 21, 24, 106, 102, 62, 105, 107, 75, 91, 19, 67, 58, 53, 84, 0, 96, 85, 22, 31, 16, 45, 65, 46, 66, 108, 12, 63, 54, 7, 87, 32, 76, 89]
[45, 54, 14, 74, 59, 39, 60, 94, 29, 63, 101, 36, 87, 3, 81, 38, 52, 73, 61, 37, 80, 28, 97, 2, 40, 41, 25, 70, 64, 100, 43, 12, 55, 49, 34, 65]
[75, 1, 54, 51, 108, 94, 29, 109, 31, 30, 10, 101, 48, 110, 97, 64, 88, 106, 93, 22, 61, 99, 50, 38, 26, 69, 67, 47, 18, 43, 78, 82, 20, 92, 107, 37]
[99, 51, 63, 5, 1, 40, 27, 52, 6, 108, 31, 53, 15, 90, 45, 44, 80, 7, 67, 110, 73, 11, 62, 64, 17, 78, 106, 18, 29, 111, 72, 32, 39, 89, 92, 9]
[11, 50, 75, 71, 41, 10, 48, 76, 92, 90, 78, 47, 26, 36, 8, 31, 6, 55, 43, 89, 104, 37, 1, 99, 34, 30, 106, 96, 100, 14, 7, 108, 111, 19, 4, 35]
